model,embedding_dim,k,recall,precision,hit_ratio,epoch,lr
TextLightGCN,64,5,0.05532201209383736,0.04028135401620297,0.1570055893989826,290,0.005
TextLightGCN,64,10,0.07839246800579819,0.030364880989764573,0.21114111662375182,298,0.005
TextLightGCN,64,20,0.10790434337190477,0.022681027444578956,0.2814168184387364,289,0.005
TextLightGCN,128,5,0.06448443206800233,0.0470263141367841,0.17446461094014948,294,0.005
TextLightGCN,128,10,0.08978510520074713,0.034553790114930004,0.225774037555737,298,0.005
TextLightGCN,128,20,0.12069500710758574,0.024784902342525582,0.29542171701312564,292,0.005
TextLightGCN,256,5,0.06964679537354541,0.04907366702254694,0.17722790931357157,298,0.005
TextLightGCN,256,10,0.09630982029239524,0.03600452176097676,0.2275325001570056,299,0.005
TextLightGCN,256,20,0.1279402948362197,0.025726935878919506,0.2985618288011053,287,0.005
