model,alpha,k,recall,precision,hit_ratio,epoch,lr
TextLightGCN,0.1,5,0.06485273719673684,0.04690070966526487,0.17358537963951517,294,0.005
TextLightGCN,0.1,10,0.09026461920752452,0.03468567481002512,0.2245807950763047,299,0.005
TextLightGCN,0.1,20,0.12189875964540563,0.025146015198143315,0.2968033661998367,298,0.005
TextLightGCN,0.5,5,0.07843615755515441,0.055994473403255085,0.20373045280411983,297,0.005
TextLightGCN,0.5,10,0.10470988020738253,0.03915091377253298,0.2500785027946995,298,0.005
TextLightGCN,0.5,20,0.13766381861232052,0.027130565848146722,0.319914588959367,299,0.005
TextLightGCN,0.9,5,0.08776977195802899,0.06266407084092471,0.2292909627582742,300,0.005
TextLightGCN,0.9,10,0.1162825969325114,0.04347170759279383,0.2826100609181687,300,0.005
TextLightGCN,0.9,20,0.1491604687489534,0.0293914463354925,0.35131570683916347,280,0.005
