model,embedding_dim,k,recall,precision,hit_ratio,epoch,lr
TextLightGCN,64,5,0.03823914197693943,0.015873689797001423,0.07435319092477113,7,0.05
TextLightGCN,64,10,0.053331037823343995,0.011858829773120043,0.10696563619477245,7,0.05
TextLightGCN,64,20,0.07547785965401448,0.008950510813321919,0.15396046172217062,7,0.05
TextLightGCN,128,5,0.0454668080673027,0.01863340851797854,0.08653310335677325,3,0.05
TextLightGCN,128,10,0.06177435973469146,0.013559771792491475,0.12004776436247844,3,0.05
TextLightGCN,128,20,0.08351556976115128,0.009810269337934033,0.16677723232055194,3,0.05
TextLightGCN,256,5,0.05307573019220955,0.021446198752820576,0.09574101101233913,1,0.05
TextLightGCN,256,10,0.06993732077416236,0.015024545575163941,0.1284861350670028,1,0.05
TextLightGCN,256,20,0.08964059433873883,0.010206978904074482,0.16789173411171554,1,0.05
