model,lr,k,recall,precision,hit_ratio,epoch
LightGCN,0.01,5,0.08620497998159468,0.03312723895449447,0.14090486931139712,44
LightGCN,0.01,10,0.10983776642624041,0.02272522223696711,0.18041661138383971,44
LightGCN,0.01,20,0.13889794008154036,0.015254079872629094,0.22807483083454955,32
LightGCN,0.005,5,0.10168176454216755,0.040122064481893836,0.1634071911901287,86
LightGCN,0.005,10,0.1272868100044888,0.02668966432267811,0.2017513599575428,76
LightGCN,0.005,20,0.15784209799387416,0.017581265755604623,0.25110786785193046,76
LightGCN,0.001,5,0.08637812985631217,0.03347220379461674,0.1409844765821945,100
LightGCN,0.001,10,0.1108945026935959,0.022990579806291874,0.1805227544115696,100
LightGCN,0.001,20,0.14253331341271835,0.015904205917474008,0.2346026270399363,100
LightGCN,0.0005,5,0.022323988960736504,0.013103356773251458,0.06204059970810667,21
LightGCN,0.0005,10,0.03722609764296294,0.011243200212286563,0.10041130423245323,2
LightGCN,0.0005,20,0.06058355833931921,0.009154836141701825,0.15401353323603556,3
LightGCN,0.0001,5,0.023369831576045566,0.0136128433063548,0.06413692450577153,1
LightGCN,0.0001,10,0.03768208357012143,0.01119278227411487,0.09990712485073637,46
LightGCN,0.0001,20,0.061542880853541926,0.009341913228075744,0.1562690725752952,45
